temperature,runNumber,timestamp,model,tags,summary,plannerLatencyMs,reviewerLatencyMs,latencyMs,reviewerChanged
0.7,15,2026-08-31T03:09:10.802085+00:00,qwen3:4b,"[""sleep_quality"", ""academic_performance"", ""university_students""]","Examines sleep's impact on student focus, memory, and grades through clinical trial.",1911.32,2618.25,4529.57,False
0.7,16,2026-08-31T03:09:15.911478+00:00,qwen3:4b,"[""sleep_quality"", ""academic_performance"", ""university_students""]",Clinical trial examining sleep impact on student concentration and academic outcomes.,1633.89,3474.36,5108.25,False
0.7,17,2026-08-31T03:09:21.539139+00:00,qwen3:4b,"[""sleep_quality"", ""academic_performance"", ""university_students""]","Examines sleep impact on student concentration, memory, and academic outcomes.",1983.77,3642.39,5626.16,False
0.7,18,2026-08-31T03:09:27.238471+00:00,qwen3:4b,"[""sleep_quality"", ""academic_performance"", ""university_studies""]",Clinical trial examines sleep duration and quality impacts on student concentration and academic outcomes.,1944.69,3753.21,5697.9,False
0.7,19,2026-08-31T03:09:32.971279+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_outcomes""]",University students' academic performance linked to sleep quality and duration in clinical trial.,1945.1,3786.37,5731.47,False
0.7,20,2026-08-31T03:09:38.388481+00:00,qwen3:4b,"[""sleep_quality"", ""academic_performance"", ""university_students""]",Clinical trial examining sleep duration and quality's impact on university students' academic outcomes.,1876.54,3539.02,5415.56,False
0.0,1,2026-08-31T03:09:45.846559+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,3851.2,3582.52,7433.72,False
0.0,2,2026-08-31T03:09:50.916264+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1807.24,3260.93,5068.17,False
0.0,3,2026-08-31T03:09:55.991659+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1792.02,3282.09,5074.11,False
0.0,4,2026-08-31T03:10:01.108507+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1819.7,3295.4,5115.1,False
0.0,5,2026-08-31T03:10:06.195061+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1808.17,3275.96,5084.13,False
0.0,6,2026-08-31T03:10:11.318509+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1842.47,3279.11,5121.59,False
0.0,7,2026-08-31T03:10:16.509505+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1827.26,3361.74,5189.0,False
0.0,8,2026-08-31T03:10:21.774956+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1862.81,3400.83,5263.63,False
0.0,9,2026-08-31T03:10:27.206260+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1996.57,3432.78,5429.35,False
0.0,10,2026-08-31T03:10:32.289087+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1808.18,3272.86,5081.04,False
0.0,11,2026-08-31T03:10:37.471850+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1844.59,3336.2,5180.78,False
0.0,12,2026-08-31T03:10:42.679572+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1905.3,3300.45,5205.75,False
0.0,13,2026-08-31T03:10:47.769078+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1829.94,3258.16,5088.1,False
0.0,14,2026-08-31T03:10:52.867263+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1809.31,3286.45,5095.75,False
0.0,15,2026-08-31T03:10:57.961511+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1811.16,3281.48,5092.64,False
0.0,16,2026-08-31T03:11:03.035112+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1786.69,3284.86,5071.55,False
0.0,17,2026-08-31T03:11:08.202841+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1834.15,3322.63,5156.78,False
0.0,18,2026-08-31T03:11:13.349861+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1775.89,3359.74,5135.62,False
0.0,19,2026-08-31T03:11:18.445402+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1782.52,3302.08,5084.6,False
0.0,20,2026-08-31T03:11:23.513262+00:00,qwen3:4b,"[""sleep_duration"", ""academic_performance"", ""concentration_effects""]",Clinical trial examines sleep quality's impact on university students' academic outcomes.,1771.55,3294.02,5065.57,False
